speciesId,family,stage,attribute,candidatePath,rawBytes,sha256,canvasWidth,canvasHeight,alphaMin,alphaMax,transparentPixelRatio,opaquePixelRatio,visiblePixelRatio,alphaFringeRatio,bboxWidthRatio,bboxHeightRatio,topMargin,bottomMargin,leftMargin,rightMargin,visibleCentroidX,visibleCentroidY,centerOffsetX,centerOffsetY,edgeContact,nearEdgeContact,bboxTouchesEdges,opaqueCornerCount,fullyOpaqueCanvas,nearlyOpaqueCanvas,rectangularBackgroundSuspicion,whiteRectangleSuspicion,grayRectangleSuspicion,blackRectangleSuspicion,connectedComponentCount,largestVisibleComponentRatio,lowDensitySuspicion,meanLuminance,meanSaturation,edgeDensity,styleQualityOutlier,styleOutlierFields
m033,F011,3,ground,public/monsters/m033.webp,290912,f9e1df4f2b004ad9d8e80fb77ec4ae52fc36c1cec05be2e59fd90a65ed1685ee,1024,1024,0,255,0.492455,0.425642,0.463667,0.038025,0.953125,0.876953,0.06543,0.057617,0.023438,0.023438,0.534284,0.509956,0.034284,0.009956,false,false,0,0,false,false,false,false,false,false,156,0.969541,false,101.876819,0.551027,0.055268,false,
m034,F012,1,rock,public/monsters/m034.webp,26720,bb070dcd944d35f440bf8895380bde2ee35cae0adbd14ddc9778befe5f8063b4,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,false,true,false,1,1,false,97.703239,0.273496,0.011167,false,
m035,F012,2,rock,public/monsters/m035.webp,35310,16dba27c46839f4bc16afe0fe6b8f22cb3af11b6f861a2c496afd89647951063,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,false,false,false,1,1,false,106.578002,0.229368,0.015237,false,
m036,F012,3,rock,public/monsters/m036.webp,38564,04fab9b80b3225ae3034be417112739ced816b677d4c4f5e9daabc8deaf24091,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,false,false,false,1,1,false,109.503849,0.25092,0.016899,false,
m037,F013,1,water,public/monsters/m037.webp,173764,c5954096c6ba66a48d3d596c30f457566b797878cf52c3c3aae9da3eba386161,512,512,0,255,0.60651,0.366806,0.377731,0.010925,0.964844,0.878906,0.044922,0.076172,0.017578,0.017578,0.526349,0.550243,0.026349,0.050243,false,false,0,0,false,false,false,false,false,false,3,0.99998,false,174.920991,0.405408,0.042176,false,
m038,F013,2,water,public/monsters/m038.webp,286930,78a4f8c25f9cb4fae3aad345e3b722dc1c6d5861e03081f78d1821f5c34fbccb,512,512,0,255,0.437366,0.4818,0.521748,0.039948,0.986328,0.976563,0.011719,0.011719,0.007813,0.005859,0.571267,0.492511,0.071267,-0.007489,false,true,0,0,false,false,false,false,false,false,31,0.957733,false,181.768981,0.446422,0.056361,false,
m039,F013,3,water,public/monsters/m039.webp,331276,a83556af195ca7fb70cd04c7d1d22be336fef6c75a1b7d159609d4d7ea80335a,512,512,0,255,0.341774,0.602497,0.631699,0.029202,0.992188,0.962891,0.013672,0.023438,0.005859,0.001953,0.534462,0.520801,0.034462,0.020801,false,true,0,0,false,false,false,false,false,false,15,0.990586,false,178.407493,0.453273,0.056483,false,
m040,F014,1,grass,public/monsters/m040.webp,16216,ca43770168ac4f1b8630f34566d8010cb574fd98a3105faf51191983fd551e57,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,241.597089,0.058769,0.008802,false,
m041,F014,2,grass,public/monsters/m041.webp,19482,b953e108a9935bddcf0ee4279e53a740305b8a30739ad1963682efe372ea3fe5,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,239.148028,0.057749,0.011324,false,
m042,F014,3,grass,public/monsters/m042.webp,34694,8ae7e762c467f817c99e91c3c645fba8d05bfcc648fd9d1c141d1e25c351a6db,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,225.624765,0.100438,0.021325,false,
m043,F015,1,poison,public/monsters/m043.webp,56900,3345c1ca8c387143d3b759dff39136ab56d6de40e1a0df8ab1f9b11d541b7675,512,512,0,255,0.625397,0.35112,0.367329,0.016209,0.806641,0.876953,0.042969,0.080078,0.132813,0.060547,0.487009,0.582214,-0.012991,0.082214,false,false,0,0,false,false,false,false,false,false,7,0.971722,false,179.894861,0.39164,0.042949,false,
m044,F015,2,poison,public/monsters/m044.webp,126750,88c9790991afe2ac10a49d2f6e5f86405f837c72004b6274a820e7ac593b3cbc,512,512,0,254,0.395664,0.466587,0.542568,0.075981,0.943359,0.970703,0.017578,0.011719,0.033203,0.023438,0.487784,0.554496,-0.012216,0.054496,false,false,0,0,false,false,false,false,false,false,29,0.96614,false,138.485803,0.476502,0.055066,false,
m045,F015,3,poison,public/monsters/m045.webp,160268,6ee86f89c52f90b944388605f5a5dc204a0bd50f2cce7266f9b3f5a3d5695565,512,512,0,254,0.310772,0.528194,0.623489,0.095295,0.916016,0.988281,0,0.011719,0.046875,0.037109,0.505674,0.552417,0.005674,0.052417,true,true,1,0,false,false,false,false,false,false,3,0.997706,false,146.148738,0.394761,0.071758,false,
m046,F016,1,fight,public/monsters/m046.webp,20438,a0a9171922bd74e2285936cfab871e2855657bfe5e9820d0b93787adc463e9c4,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,232.522961,0.086218,0.011602,false,
m047,F016,2,fight,public/monsters/m047.webp,31058,506308e30b77418903a84fd506269c017d56d33f5c2743a8d37ab571ff4ba951,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,219.979787,0.118845,0.018708,false,
m048,F016,3,fight,public/monsters/m048.webp,35618,3f8ba348fd0848f80b3aeb61e079f434a9a5b9ab21f3449f0e6631794a92c97d,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,202.051407,0.083627,0.021162,false,
m049,F017,1,fairy,public/monsters/m049.webp,34400,387fa20fe5f63c9002f2295f22c26fde0343dbdc99a0ae3d9fc286a0d5ccb277,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,233.210496,0.092113,0.01045,false,
m050,F017,2,fairy,public/monsters/m050.webp,39600,03c105d1d6fa1215a4c1cd144bd247af3e9bf9d98077d41d472b027399a12371,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,241.199589,0.053299,0.011959,false,
m051,F017,3,fairy,public/monsters/m051.webp,46206,63b49418e5f4e66589e1afd4e99d0de508fc019fc7aa4778ba97a96491575104,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,238.307339,0.066919,0.015238,false,
m052,F018,1,psychic,public/monsters/m052.webp,38552,14a85bd2123f52d198de3f6f2526b0a36a3b7ba26adea39bf8c7114b4fa4b892,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,211.732985,0.1181,0.016692,false,
m053,F018,2,psychic,public/monsters/m053.webp,46214,506df2100b98688814cd9882a50e5d50d223a3c7b06f8795fc039decd3692ba9,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,219.443133,0.112127,0.01986,false,
m054,F018,3,psychic,public/monsters/m054.webp,48140,1f346ff3d5a130b9d63041091cd7cd5a3262182c0324357dd5da8d385320c3a1,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,true,false,false,1,1,false,217.160875,0.13118,0.020532,false,
m055,F019,1,fire,public/monsters/m055.webp,151452,b3172206e1f1a2cb228d0c23f597f0af50c238dc94d737372e25dbeced8225dd,512,512,0,255,0.68441,0.189407,0.289978,0.100571,0.646484,0.810547,0.091797,0.097656,0.175781,0.177734,0.503983,0.500747,0.003983,0.000747,false,false,0,0,false,false,false,false,false,false,58,0.998645,false,92.801709,0.715626,0.025271,false,
m056,F019,2,fire,public/monsters/m056.webp,198522,4864b93737466517180dbae73a2fad38ea61b006d00d5501a51ca52d42b77941,512,512,0,255,0.615868,0.236347,0.357033,0.120686,0.818359,0.761719,0.109375,0.128906,0.091797,0.089844,0.517747,0.523941,0.017747,0.023941,false,false,0,0,false,false,false,false,false,false,73,0.997147,false,91.081844,0.775622,0.030632,false,
m057,F019,3,fire,public/monsters/m057.webp,195066,b700369d316f5eb336b348bc1a4d71e3aacd54325f00444aed1e4cd730761bd5,512,512,0,255,0.66029,0.250164,0.323257,0.073093,0.833984,0.542969,0.228516,0.228516,0.083984,0.082031,0.505771,0.521549,0.005771,0.021549,false,false,0,0,false,false,false,false,false,false,44,0.99928,true,80.719145,0.760467,0.040422,false,
m058,F020,1,fire,public/monsters/m058.webp,99368,74cf8fb8f0ebd6321323250d683a2f89641c53efac6ea0ec9a6cdac76df9b764,512,512,0,255,0.735069,0.202194,0.247425,0.045231,0.585938,0.804688,0.099609,0.095703,0.207031,0.207031,0.510533,0.604062,0.010533,0.104062,false,false,0,0,false,false,false,false,false,false,40,0.998659,false,113.533442,0.926764,0.016572,false,
m059,F020,2,fire,public/monsters/m059.webp,162026,91fe52a09a425a221fc4668423988c693a98bef9510f6de8850006704150a30e,512,512,0,255,0.656078,0.211304,0.314484,0.10318,0.705078,0.8125,0.09375,0.09375,0.148438,0.146484,0.504519,0.548245,0.004519,0.048245,false,false,0,0,false,false,false,false,false,false,68,0.998423,false,121.644504,0.850859,0.025213,false,
m060,F020,3,fire,public/monsters/m060.webp,200608,2658f12552a89527b04dfe913a0ce2216523173bdb8e4ec9ddcc5d65d928215b,512,512,0,255,0.639675,0.213737,0.334095,0.120358,0.833984,0.675781,0.173828,0.150391,0.083984,0.082031,0.496678,0.570849,-0.003322,0.070849,false,false,0,0,false,false,false,false,false,false,125,0.995718,false,100.060439,0.899698,0.035371,false,
m061,F021,1,ground,public/monsters/m061.webp,142646,3be1c7af24ff13a045afa522d56a19c76c1a4a5302304d379b27bae771bdfdce,1024,1024,0,255,0.709647,0.253804,0.270117,0.016313,0.762695,0.917969,0.042969,0.039063,0.157227,0.080078,0.487509,0.488505,-0.012491,-0.011495,false,false,0,0,false,false,false,false,false,false,41,0.999841,false,145.101082,0.534012,0.03329,false,
m062,F021,2,ground,public/monsters/m062.webp,332842,a177fb3e0295f644d9054309f2132d289e72a1504815647628ce4730f0596569,1024,1024,0,255,0.450752,0.437633,0.497496,0.059863,0.894531,0.973633,0.011719,0.014648,0.092773,0.012695,0.524148,0.493742,0.024148,-0.006258,false,false,0,0,false,false,false,false,false,false,115,0.991393,false,128.204347,0.535394,0.049153,false,
m063,F021,3,ground,public/monsters/m063.webp,263194,98fdcac95c5c7d9442690599b9f866697f2a157e2dd9567016c7489e363c2b91,1024,1024,0,255,0.548002,0.376739,0.41362,0.036881,0.887695,0.928711,0.03125,0.040039,0.0625,0.049805,0.480877,0.493601,-0.019123,-0.006399,false,false,0,0,false,false,false,false,false,false,93,0.999218,false,131.212502,0.542475,0.058042,false,
m064,F022,1,rock,public/monsters/m064.webp,32924,7d4c1316a0a8e0fb7441c844319084c41d23bcbe3bd28590a4084648b1bd06b6,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,false,false,false,1,1,false,98.733335,0.340152,0.012775,false,
m065,F022,2,rock,public/monsters/m065.webp,36484,d2e8b9780c12ad434b261fce72fe9926aab54eb3f39fd2788e242661ec191c31,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,false,false,false,1,1,false,100.903283,0.364135,0.014216,false,
m066,F022,3,rock,public/monsters/m066.webp,38154,3d845a9db0441c490f6e1b089d173b0eb2ae0137bfe7ef6a6e8b9ca56c8c3da2,512,512,255,255,0,1,1,0,1,1,0,0,0,0,0.499023,0.499023,-0.000977,-0.000977,true,true,4,4,true,true,true,false,true,false,1,1,false,106.017091,0.296663,0.015348,false,
m067,F023,1,steel,public/monsters/m067.webp,63196,e014d513a6dc2f105c1b8534c10ce95b32d8d5bebaf9400b5c6d702396a13c6f,512,512,0,255,0.651814,0.32201,0.336048,0.014038,0.779297,0.902344,0.048828,0.048828,0.126953,0.09375,0.432754,0.491056,-0.067246,-0.008944,false,false,0,0,false,false,false,false,false,false,8,0.999909,false,120.45245,0.250399,0.075742,false,
m068,F023,2,steel,public/monsters/m068.webp,79408,b2c6204e4be661924363804d57e7785d93e77c0a9e05f9de26f344b527ad719e,512,512,0,255,0.575417,0.393539,0.410259,0.01672,0.845703,0.898438,0.050781,0.050781,0.105469,0.048828,0.49285,0.501219,-0.00715,0.001219,false,false,0,0,false,false,false,false,false,false,5,0.999963,false,117.627095,0.307739,0.07819,false,
m069,F023,3,steel,public/monsters/m069.webp,93600,d103b0ff2d56bd2f8c31288387f845510f3d890c78da281fb9cc536e6f391c1b,512,512,0,255,0.508072,0.458378,0.476292,0.017914,0.898438,0.886719,0.056641,0.056641,0.048828,0.052734,0.521896,0.511597,0.021896,0.011597,false,false,0,0,false,false,false,false,false,false,5,0.999968,false,111.985466,0.358758,0.080032,false,
m070,F024,1,electric,public/monsters/m070.webp,55766,a83566087ded1cf5ff26a5afd7c21b29e016dd8e2815ddab158c04ac37bff3cd,512,512,0,255,0.74065,0.220963,0.241776,0.020813,0.722656,0.8125,0.09375,0.09375,0.158203,0.119141,0.499775,0.488539,-0.000225,-0.011461,false,false,0,0,false,false,false,false,false,false,4,0.999953,false,141.777389,0.386375,0.063152,false,
m071,F024,2,electric,public/monsters/m071.webp,81046,3887b9291f44319f66d53cdb3262590805e9f32dfce46de3e443fb27179c7adc,512,512,0,255,0.647228,0.292633,0.329647,0.037014,0.792969,0.816406,0.091797,0.091797,0.103516,0.103516,0.501169,0.490957,0.001169,-0.009043,false,false,0,0,false,false,false,false,false,false,12,0.999861,false,145.319508,0.482939,0.065763,false,
m072,F024,3,electric,public/monsters/m072.webp,100262,5205e956577185221e44ae69bbec0e6393ce17d719facd9f0692e4b70a1ee29b,512,512,0,255,0.589272,0.335072,0.377998,0.042927,0.818359,0.808594,0.09375,0.097656,0.089844,0.091797,0.506761,0.496068,0.006761,-0.003932,false,false,0,0,false,false,false,false,false,false,11,0.999899,false,146.865016,0.506806,0.070561,false,
